site,employees_or_jobs_lost,contractors,transient_workers,associated_mine_workers,associated_mine,close_down_date,Coordinates ,announcement_date,total_workers_or_jobs_lost,operating,links,federal_support_provided,total_support,Notes,power_station
Hazelwood Coal Power Station,495,300,NA,NA,NA,2017-11-01,"-38.27254617001252, 146.39164524232788",11/3/2014,795,FALSE,https://en.wikipedia.org/wiki/Hazelwood_Power_Station; https://www.theguardian.com/australia-news/2016/nov/03/hazelwood-coal-power-station-to-close-with-loss-of-800-jobs; https://www.theage.com.au/national/victoria/power-shift-the-latrobe-valley-looks-for-a-new-future-again-20210923-p58u7i.html,43000000,266000000,NA,TRUE
Eraring Power Station,243,240,500,233,Myuna Colliery,2025-06-01,"-33.06201988859232, 151.5202778",3/22/2022,1216,TRUE,"https://www.abc.net.au/news/2022-04-03/inside-eraring-power-station-coal-electricity/100953694#:~:text=%E2%80%9CSo%20if%20it's%202025%2C%20it%20is%20what%20it%20is.%E2%80%9D&text=It's%20not%20only%20the%20200,time%20to%20do%20maintenance%20work.",NA,NA,NA,TRUE
Munmorah Power Station,340,NA,NA,NA,NA,2012-07-01,"-33.211605961997726, 151.54216099999996",NA,340,FALSE,https://www.newcastleherald.com.au/story/5011827/remembering-munmorah-power-stations-glory-days-photos/,NA,NA,NA,TRUE
Redbank Power Station,39,NA,NA,NA,NA,2014-08-01,"-32.57982370908875, 151.07197854232786",NA,39,FALSE,https://www.singletonargus.com.au/story/2664742/breaking-news-more-jobs-lost-redbank-closes-its-doors/,NA,NA,NA,TRUE
Wallerawang Power Station,220,NA,NA,NA,NA,2014-11-01,"-33.40367842094226, 150.08447658650823",4/1/2014,220,FALSE,https://www.theguardian.com/australia-news/2021/nov/24/end-of-an-era-explosives-topple-giant-chimneys-at-defunct-nsw-coal-fired-power-plant,NA,NA,NA,TRUE
Morwell Power Station,75,NA,NA,NA,NA,2014-09-14,"-38.25428853694085, 146.41360037116394",NA,75,FALSE,https://en.wikipedia.org/wiki/Energy_Brix_Power_Station; https://www.abc.net.au/news/2014-12-19/future-of-energy-brix-power-station-and-briquette/5978532,NA,NA,NA,TRUE
Anglesea Power Station,80,NA,NA,NA,NA,2015-08-31,"-38.38884979779909, 144.1805567134918",NA,80,FALSE,https://en.wikipedia.org/wiki/Anglesea_Power_Station,NA,NA,NA,TRUE
Collinsville Power Station,350,NA,NA,NA,NA,2013-12-01,"-20.545618874769435, 147.80525997273725",NA,350,FALSE,https://www.abc.net.au/news/rural/2020-08-27/collinsville-locals-want-coal-power-station-study/12597658,NA,NA,NA,TRUE
Swanbank Power Station,130,NA,NA,NA,NA,2012-05-01,"-27.659588193632736, 152.81345672883606",NA,130,FALSE,https://www.brisbanetimes.com.au/national/queensland/swanbank-power-station-to-close-for-three-years-20140205-321m6.html,NA,NA,NA,TRUE
Port Augusta,1800,NA,NA,NA,NA,2016-05-01,"-32.54254727201188, 137.78735708465575",NA,1800,FALSE,https://www.aph.gov.au/DocumentStore.ashx?id=a69472dd-4175-476a-b850-1ad462f48b3e&subId=459879,NA,NA,NA,TRUE
Loy Yang Power Station A,502,NA,NA,366,Loy Yang,2035-01-01,"-32.39182910062212, 150.94895212327862",NA,868,TRUE,https://www.agl.com.au/about-agl/how-we-source-energy/agl-macquarie,NA,NA,Applied 50% from the AGL website to both the Bayswater and Lidell stations,TRUE
Liddell Power Station,230,NA,NA,NA,NA,2023-04-01,"-32.371767701170036, 150.9772114711639",NA,230,TRUE,https://www.agl.com.au/about-agl/how-we-source-energy/agl-macquarie,NA,NA,Applied 50% from the AGL website to both the Bayswater and Lidell stations,TRUE
