"year","period","periodName","value"
"2005","Q04","4th Quarter","82.7"
"2005","Q03","3rd Quarter","82.9"
"2005","Q02","2nd Quarter","82.8"
"2005","Q01","1st Quarter","82.7"
"2004","Q04","4th Quarter","82.6"
"2004","Q03","3rd Quarter","82.8"
"2004","Q02","2nd Quarter","82.8"
"2004","Q01","1st Quarter","82.8"
"2003","Q04","4th Quarter","82.8"
"2003","Q03","3rd Quarter","82.9"
"2003","Q02","2nd Quarter","83.2"
"2003","Q01","1st Quarter","83.0"
"2002","Q04","4th Quarter","83.0"
"2002","Q03","3rd Quarter","83.2"
"2002","Q02","2nd Quarter","83.5"
"2002","Q01","1st Quarter","83.6"
"2001","Q04","4th Quarter","83.6"
"2001","Q03","3rd Quarter","83.5"
"2001","Q02","2nd Quarter","83.7"
"2001","Q01","1st Quarter","84.1"
"2000","Q04","4th Quarter","83.8"
"2000","Q03","3rd Quarter","83.8"
"2000","Q02","2nd Quarter","84.2"
"2000","Q01","1st Quarter","84.4"
"2010","Q04","4th Quarter","81.9"
"2010","Q03","3rd Quarter","82.0"
"2010","Q02","2nd Quarter","82.4"
"2010","Q01","1st Quarter","82.4"
"2009","Q04","4th Quarter","82.3"
"2009","Q03","3rd Quarter","82.7"
"2009","Q02","2nd Quarter","82.9"
"2009","Q01","1st Quarter","82.8"
"2008","Q04","4th Quarter","82.9"
"2008","Q03","3rd Quarter","83.1"
"2008","Q02","2nd Quarter","83.1"
"2008","Q01","1st Quarter","83.2"
"2007","Q04","4th Quarter","82.9"
"2007","Q03","3rd Quarter","82.9"
"2007","Q02","2nd Quarter","82.9"
"2007","Q01","1st Quarter","83.3"
"2006","Q04","4th Quarter","83.0"
"2006","Q03","3rd Quarter","82.9"
"2006","Q02","2nd Quarter","82.8"
"2006","Q01","1st Quarter","82.9"
"2015","Q04","4th Quarter","80.9"
"2015","Q03","3rd Quarter","80.7"
"2015","Q02","2nd Quarter","81.0"
"2015","Q01","1st Quarter","80.9"
"2014","Q04","4th Quarter","80.9"
"2014","Q03","3rd Quarter","80.9"
"2014","Q02","2nd Quarter","80.9"
"2014","Q01","1st Quarter","81.0"
"2013","Q04","4th Quarter","80.8"
"2013","Q03","3rd Quarter","81.1"
"2013","Q02","2nd Quarter","81.1"
"2013","Q01","1st Quarter","81.0"
"2012","Q04","4th Quarter","81.4"
"2012","Q03","3rd Quarter","81.4"
"2012","Q02","2nd Quarter","81.4"
"2012","Q01","1st Quarter","81.5"
"2011","Q04","4th Quarter","81.5"
"2011","Q03","3rd Quarter","81.5"
"2011","Q02","2nd Quarter","81.7"
"2011","Q01","1st Quarter","81.7"
"2020","Q04","4th Quarter","81.0"
"2020","Q03","3rd Quarter","81.2"
"2020","Q02","2nd Quarter","80.7"
"2020","Q01","1st Quarter","82.8"
"2019","Q04","4th Quarter","82.8"
"2019","Q03","3rd Quarter","82.4"
"2019","Q02","2nd Quarter","82.2"
"2019","Q01","1st Quarter","82.5"
"2018","Q04","4th Quarter","82.2"
"2018","Q03","3rd Quarter","82.0"
"2018","Q02","2nd Quarter","82.0"
"2018","Q01","1st Quarter","81.9"
"2017","Q04","4th Quarter","81.7"
"2017","Q03","3rd Quarter","81.8"
"2017","Q02","2nd Quarter","81.7"
"2017","Q01","1st Quarter","81.6"
